,veiculo_id,hr_ini,ping_dt,latitude_final_nr,longitude_final_nr
53,19998,0,2023-03-15,-23.554209,-46.64861
57,20006,0,2023-03-15,-23.410286,-46.47859
75,20014,0,2023-03-15,-23.744326,-46.800415
215,19996,0,2023-03-15,-23.614956,-46.70171
239,20344,0,2023-03-15,-23.755392,-46.698147
244,20809,0,2023-03-15,-23.680162,-46.775436
256,20515,0,2023-03-15,-23.570736,-46.707153
720,21014,0,2023-03-15,-23.503145,-46.77486
834,19917,0,2023-03-15,-23.520254,-46.749355
873,21016,0,2023-03-15,-23.557741,-46.793724
876,20457,0,2023-03-15,-23.546268,-46.649235
945,19884,0,2023-03-15,-23.683935,-46.50174
1106,19930,0,2023-03-15,-23.71856,-46.580017
1134,19960,0,2023-03-15,-23.423376,-46.713753
1137,19970,0,2023-03-15,-23.58081,-46.716873
1182,19958,0,2023-03-15,-23.601805,-46.67617
1241,20016,0,2023-03-15,-23.62943,-46.67494
1443,20007,0,2023-03-15,-23.603561,-46.681664
1444,19980,0,2023-03-15,-23.439505,-46.51673
1651,20473,0,2023-03-15,-23.671331,-46.63873
1673,19985,0,2023-03-15,-23.69849,-46.78022
1714,20475,0,2023-03-15,-23.760008,-46.68476
1719,20465,0,2023-03-15,-23.5853,-46.570835
1731,20710,0,2023-03-15,-23.641235,-46.786743
1739,20510,0,2023-03-15,-23.670197,-46.74619
1744,20509,0,2023-03-15,-23.659452,-46.70013
1759,20459,0,2023-03-15,-23.170347,-46.86477
1760,19866,0,2023-03-15,-23.499928,-46.64398
1800,20009,0,2023-03-15,-23.682861,-46.74322
1852,20696,0,2023-03-15,-23.742073,-46.779
1869,20994,0,2023-03-15,-23.434155,-46.561466
1886,20800,0,2023-03-15,-23.476782,-46.760406
1899,20706,0,2023-03-15,-23.557205,-46.62473
1900,19948,0,2023-03-15,-23.542154,-46.879158
1924,20001,0,2023-03-15,-23.447407,-46.7246
1942,20733,0,2023-03-15,-23.619055,-46.758404
1973,20487,0,2023-03-15,-23.722767,-46.797665
1988,20807,0,2023-03-15,-23.733692,-46.775314
2031,20521,0,2023-03-15,-23.56091,-46.640495
2037,19920,0,2023-03-15,-23.589775,-46.397316
2072,20535,0,2023-03-15,-23.74811,-46.67923
2305,19955,0,2023-03-15,-23.609081,-46.724228
2475,19921,0,2023-03-15,-23.60102,-46.576725
2483,19899,0,2023-03-15,-23.487162,-46.806934
2492,21017,0,2023-03-15,-23.636288,-46.782635
2501,19934,0,2023-03-15,-23.55397,-46.628212
5134,39564,0,2023-03-15,-23.351143,-46.76107
6072,21004,0,2023-03-14,-23.456709,-46.685184
6076,20801,0,2023-03-14,-23.498142,-46.68012
6205,21014,0,2023-03-14,-23.501333,-46.77496
7256,21002,0,2023-03-14,-23.74527,-46.805183
7392,21006,0,2023-03-14,-23.569815,-46.763687
8041,21000,0,2023-03-14,-23.468712,-46.70339
8203,20804,0,2023-03-14,-23.565474,-46.747528
8272,21012,0,2023-03-14,-23.700003,-46.858067
8516,21016,0,2023-03-14,-23.691425,-46.79231
8555,21015,0,2023-03-14,-23.676514,-46.78557
17977,19962,0,2023-03-14,-23.660074,-46.659225
18040,19963,0,2023-03-14,-23.655903,-46.663807
18075,20012,0,2023-03-14,-23.447832,-46.900566
18084,20492,0,2023-03-14,-23.48773,-46.892113
18097,20482,0,2023-03-14,-23.656864,-46.636982
18102,20454,0,2023-03-14,-23.614384,-46.751595
18375,19930,0,2023-03-14,-23.718565,-46.580044
18398,20006,0,2023-03-14,-23.40616,-46.478603
18406,19984,0,2023-03-14,-23.384256,-46.32439
18455,19958,0,2023-03-14,-23.602146,-46.676197
18487,20014,0,2023-03-14,-23.743961,-46.800625
18509,19974,0,2023-03-14,-23.6231,-46.61047
18511,19978,0,2023-03-14,-23.531738,-46.764744
18515,20016,0,2023-03-14,-23.629452,-46.674927
18518,19981,0,2023-03-14,-23.638239,-46.460587
18732,19980,0,2023-03-14,-23.439425,-46.516773
18743,20008,0,2023-03-14,-23.44313,-46.751568
18944,20473,0,2023-03-14,-23.671646,-46.63795
18960,20529,0,2023-03-14,-23.49695,-46.810947
18968,20452,0,2023-03-14,-23.497862,-46.632454
19011,20710,0,2023-03-14,-23.641817,-46.786816
19012,20698,0,2023-03-14,-23.752731,-46.65647
19027,20450,0,2023-03-14,-23.655798,-46.78143
19029,19866,0,2023-03-14,-23.501814,-46.644905
19073,19996,0,2023-03-14,-23.615028,-46.701992
19095,19880,0,2023-03-14,-23.654497,-46.666416
19164,20355,0,2023-03-14,-23.532637,-46.980423
19166,20724,0,2023-03-14,-23.650915,-46.748413
19197,20001,0,2023-03-14,-23.447422,-46.724674
19215,20512,0,2023-03-14,-23.744762,-46.71231
19253,19950,0,2023-03-14,-23.516966,-46.428383
19314,20521,0,2023-03-14,-23.560944,-46.640545
19315,19869,0,2023-03-14,-23.704882,-46.610943
19318,19920,0,2023-03-14,-23.589832,-46.39732
19319,20507,0,2023-03-14,-23.671967,-46.797234
19346,20535,0,2023-03-14,-23.748075,-46.679234
19526,20498,0,2023-03-14,-23.499706,-46.74509
20165,19925,0,2023-03-14,-23.57279,-46.798664
20184,19883,0,2023-03-14,-23.63031,-46.46468
20186,19899,0,2023-03-14,-23.487638,-46.80761
20227,19936,0,2023-03-14,-23.561157,-46.58932
20455,19988,0,2023-03-13,-23.652697,-46.819656
20458,19962,0,2023-03-13,-23.740707,-46.796738
20623,19985,0,2023-03-13,-23.698677,-46.780125
20627,20452,0,2023-03-13,-23.497992,-46.666893
20646,20482,0,2023-03-13,-23.59365,-46.636974
20676,19911,0,2023-03-13,-23.590464,-46.766926
20687,20809,0,2023-03-13,-23.588278,-46.66317
20702,20801,0,2023-03-13,-23.466932,-46.67919
20860,20498,0,2023-03-13,-23.496447,-46.74649
21576,19930,0,2023-03-13,-23.71856,-46.58
21601,20023,0,2023-03-13,-23.50292,-46.60943
21614,19970,0,2023-03-13,-23.581022,-46.716805
21653,19958,0,2023-03-13,-23.558512,-46.690987
21692,19974,0,2023-03-13,-23.623081,-46.610477
21696,19978,0,2023-03-13,-23.53207,-46.76467
21701,19961,0,2023-03-13,-23.645498,-46.659863
21702,20025,0,2023-03-13,-23.710283,-46.640568
21725,20019,0,2023-03-13,-23.672497,-46.738503
22241,20700,0,2023-03-13,-23.70001,-46.793606
22257,20468,0,2023-03-13,-23.659714,-46.695244
22271,19866,0,2023-03-13,-23.502031,-46.644157
22360,19888,0,2023-03-13,-23.657991,-46.78469
22369,20920,0,2023-03-13,-23.557852,-46.64265
22375,19954,0,2023-03-13,-23.472599,-46.693535
22386,20994,0,2023-03-13,-23.43424,-46.561577
22405,20800,0,2023-03-13,-23.470535,-46.75157
22420,20724,0,2023-03-13,-23.650877,-46.748425
22495,20813,0,2023-03-13,-23.6804,-46.793888
22512,20802,0,2023-03-13,-23.645157,-46.778824
22522,19912,0,2023-03-13,-23.557041,-46.505955
22552,21006,0,2023-03-13,-23.570427,-46.763557
22587,20535,0,2023-03-13,-23.74814,-46.679268
22588,21029,0,2023-03-13,-23.590725,-46.905396
22986,19883,0,2023-03-13,-23.63046,-46.46477
23057,19873,0,2023-03-13,-23.596558,-46.48636
23069,20526,0,2023-03-13,-23.658648,-46.54861
23072,20733,0,2023-03-13,-23.61908,-46.75839
23074,20702,0,2023-03-13,-23.684912,-46.746014
23079,19960,0,2023-03-13,-23.42336,-46.713676
23109,20321,0,2023-03-13,-23.72349,-46.523075
25851,40059,0,2023-03-17,-23.739256,-46.5366
26226,39881,0,2023-03-17,-23.561556,-46.62884
26253,40039,0,2023-03-17,-23.635242,-46.793003
26881,40036,0,2023-03-17,-23.434914,-46.50726
27386,39968,0,2023-03-17,-23.571209,-46.705532
38756,19991,0,2023-03-17,-23.72924,-46.78147
38766,19981,0,2023-03-17,-23.750322,-46.78689
38953,20526,0,2023-03-17,-23.65815,-46.55788
38958,20482,0,2023-03-17,-23.539139,-46.645897
38959,20474,0,2023-03-17,-23.47292,-46.53488
38963,20454,0,2023-03-17,-23.614388,-46.74769
38997,19911,0,2023-03-17,-23.590471,-46.764683
39007,19954,0,2023-03-17,-23.672293,-46.794735
39031,20812,0,2023-03-17,-23.683537,-46.432064
39032,20801,0,2023-03-17,-23.486822,-46.688606
39056,19900,0,2023-03-17,-23.669548,-46.636456
39232,20498,0,2023-03-17,-23.558329,-46.775944
39762,21015,0,2023-03-17,-23.676268,-46.78728
39844,19884,0,2023-03-17,-23.683989,-46.501896
39849,19903,0,2023-03-17,-23.690624,-46.57421
40027,19998,0,2023-03-17,-23.554276,-46.64877
40046,19984,0,2023-03-17,-23.384268,-46.324345
